loading raw_datasets successfully

Processing train split with 836 samples:
Finished processing train split.

Processing test split with 29 samples:
Finished processing test split.

Processing validation split with 148 samples:
Finished processing validation split.
{'eval_loss': 10.92349624633789, 'eval_map': 0.001, 'eval_map_50': 0.002, 'eval_map_75': 0.0, 'eval_map_small': 0.0, 'eval_map_medium': 0.0, 'eval_map_large': 0.001, 'eval_mar_1': 0.0005, 'eval_mar_10': 0.0005, 'eval_mar_100': 0.0005, 'eval_mar_small': 0.0, 'eval_mar_medium': 0.0, 'eval_mar_large': 0.0005, 'eval_map_Coverall': 0.0, 'eval_mar_100_Coverall': 0.0, 'eval_map_Face_Shield': 0.0, 'eval_mar_100_Face_Shield': 0.0, 'eval_map_Gloves': 0.005, 'eval_mar_100_Gloves': 0.0023, 'eval_map_Goggles': 0.0, 'eval_mar_100_Goggles': 0.0, 'eval_map_Mask': 0.0, 'eval_mar_100_Mask': 0.0, 'eval_runtime': 6.8215, 'eval_samples_per_second': 21.696, 'eval_steps_per_second': 2.785, 'epoch': 6.0}
{'loss': 3.3249, 'grad_norm': 19.17496109008789, 'learning_rate': 0.000990861105628817, 'epoch': 6.1}
{'loss': 3.3912, 'grad_norm': 9.682929992675781, 'learning_rate': 0.0009905741916970863, 'epoch': 6.19}
{'loss': 2.8808, 'grad_norm': 9.082674980163574, 'learning_rate': 0.00099028288613761, 'epoch': 6.29}
{'loss': 2.9668, 'grad_norm': 14.619318008422852, 'learning_rate': 0.00098998719155816, 'epoch': 6.38}
{'loss': 3.1721, 'grad_norm': 9.895384788513184, 'learning_rate': 0.0009896871106057988, 'epoch': 6.48}
{'loss': 3.463, 'grad_norm': 13.51998519897461, 'learning_rate': 0.0009893826459668558, 'epoch': 6.57}
{'loss': 3.3561, 'grad_norm': 12.593159675598145, 'learning_rate': 0.0009890738003669028, 'epoch': 6.67}
{'loss': 3.5394, 'grad_norm': 9.09451961517334, 'learning_rate': 0.0009887605765707308, 'epoch': 6.76}
{'loss': 3.2118, 'grad_norm': 14.565173149108887, 'learning_rate': 0.000988442977382324, 'epoch': 6.86}
{'loss': 2.9921, 'grad_norm': 14.335927963256836, 'learning_rate': 0.0009881210056448349, 'epoch': 6.95}
{'eval_loss': 7.280777454376221, 'eval_map': 0.0, 'eval_map_50': 0.0, 'eval_map_75': 0.0, 'eval_map_small': 0.0, 'eval_map_medium': 0.0, 'eval_map_large': 0.0, 'eval_mar_1': 0.0014, 'eval_mar_10': 0.0016, 'eval_mar_100': 0.0016, 'eval_mar_small': 0.0, 'eval_mar_medium': 0.0008, 'eval_mar_large': 0.0017, 'eval_map_Coverall': 0.0, 'eval_mar_100_Coverall': 0.0, 'eval_map_Face_Shield': 0.0, 'eval_mar_100_Face_Shield': 0.0, 'eval_map_Gloves': 0.0, 'eval_mar_100_Gloves': 0.0081, 'eval_map_Goggles': 0.0, 'eval_mar_100_Goggles': 0.0, 'eval_map_Mask': 0.0, 'eval_mar_100_Mask': 0.0, 'eval_runtime': 7.2496, 'eval_samples_per_second': 20.415, 'eval_steps_per_second': 2.621, 'epoch': 7.0}
{'loss': 3.0738, 'grad_norm': 9.847437858581543, 'learning_rate': 0.0009877946642405596, 'epoch': 7.05}
{'loss': 2.833, 'grad_norm': 14.328132629394531, 'learning_rate': 0.0009874639560909118, 'epoch': 7.14}
{'loss': 3.1451, 'grad_norm': 9.547075271606445, 'learning_rate': 0.0009871288841563955, 'epoch': 7.24}
{'loss': 3.0152, 'grad_norm': 13.794046401977539, 'learning_rate': 0.0009867894514365802, 'epoch': 7.33}
{'loss': 3.0736, 'grad_norm': 12.10088062286377, 'learning_rate': 0.0009864456609700726, 'epoch': 7.43}
{'loss': 2.7604, 'grad_norm': 9.26816463470459, 'learning_rate': 0.0009860975158344902, 'epoch': 7.52}
{'loss': 2.9789, 'grad_norm': 12.39677906036377, 'learning_rate': 0.0009857450191464337, 'epoch': 7.62}
{'loss': 3.1105, 'grad_norm': 13.526429176330566, 'learning_rate': 0.000985388174061459, 'epoch': 7.71}
{'loss': 2.7792, 'grad_norm': 11.599111557006836, 'learning_rate': 0.000985026983774049, 'epoch': 7.81}
{'loss': 2.8389, 'grad_norm': 11.29415225982666, 'learning_rate': 0.0009846614515175843, 'epoch': 7.9}
{'loss': 2.7544, 'grad_norm': 9.380899429321289, 'learning_rate': 0.0009842915805643156, 'epoch': 8.0}
{'eval_loss': 7.316477298736572, 'eval_map': 0.0, 'eval_map_50': 0.0001, 'eval_map_75': 0.0, 'eval_map_small': 0.0, 'eval_map_medium': 0.0, 'eval_map_large': 0.0, 'eval_mar_1': 0.0009, 'eval_mar_10': 0.0009, 'eval_mar_100': 0.0009, 'eval_mar_small': 0.0, 'eval_mar_medium': 0.0, 'eval_mar_large': 0.001, 'eval_map_Coverall': 0.0, 'eval_mar_100_Coverall': 0.0, 'eval_map_Face_Shield': 0.0, 'eval_mar_100_Face_Shield': 0.0, 'eval_map_Gloves': 0.0002, 'eval_mar_100_Gloves': 0.0045, 'eval_map_Goggles': 0.0, 'eval_mar_100_Goggles': 0.0, 'eval_map_Mask': 0.0, 'eval_mar_100_Mask': 0.0, 'eval_runtime': 7.3992, 'eval_samples_per_second': 20.002, 'eval_steps_per_second': 2.568, 'epoch': 8.0}
{'loss': 2.8137, 'grad_norm': 8.328812599182129, 'learning_rate': 0.0009839173742253334, 'epoch': 8.1}
{'loss': 2.7781, 'grad_norm': 11.225790023803711, 'learning_rate': 0.0009835388358505383, 'epoch': 8.19}
{'loss': 3.1664, 'grad_norm': 10.984042167663574, 'learning_rate': 0.000983155968828612, 'epoch': 8.29}
{'loss': 3.3728, 'grad_norm': 18.242368698120117, 'learning_rate': 0.0009827687765869859, 'epoch': 8.38}
{'loss': 3.1342, 'grad_norm': 8.034465789794922, 'learning_rate': 0.0009823772625918111, 'epoch': 8.48}
{'loss': 3.0525, 'grad_norm': 10.730165481567383, 'learning_rate': 0.0009819814303479266, 'epoch': 8.57}
{'loss': 2.9182, 'grad_norm': 13.65328311920166, 'learning_rate': 0.0009815812833988292, 'epoch': 8.67}
{'loss': 2.8553, 'grad_norm': 17.442121505737305, 'learning_rate': 0.00098117682532664, 'epoch': 8.76}
{'loss': 3.2412, 'grad_norm': 7.555788993835449, 'learning_rate': 0.0009807680597520745, 'epoch': 8.86}
{'loss': 2.7965, 'grad_norm': 8.900425910949707, 'learning_rate': 0.000980354990334408, 'epoch': 8.95}
{'eval_loss': 8.949978828430176, 'eval_map': 0.0, 'eval_map_50': 0.0001, 'eval_map_75': 0.0, 'eval_map_small': 0.0, 'eval_map_medium': 0.001, 'eval_map_large': 0.0, 'eval_mar_1': 0.0003, 'eval_mar_10': 0.0003, 'eval_mar_100': 0.0003, 'eval_mar_small': 0.0, 'eval_mar_medium': 0.0008, 'eval_mar_large': 0.0002, 'eval_map_Coverall': 0.0, 'eval_mar_100_Coverall': 0.0, 'eval_map_Face_Shield': 0.0, 'eval_mar_100_Face_Shield': 0.0, 'eval_map_Gloves': 0.0, 'eval_mar_100_Gloves': 0.0014, 'eval_map_Goggles': 0.0, 'eval_mar_100_Goggles': 0.0, 'eval_map_Mask': 0.0, 'eval_mar_100_Mask': 0.0, 'eval_runtime': 7.16, 'eval_samples_per_second': 20.67, 'eval_steps_per_second': 2.654, 'epoch': 9.0}
{'loss': 2.9434, 'grad_norm': 13.122994422912598, 'learning_rate': 0.0009799376207714446, 'epoch': 9.05}
{'loss': 2.7329, 'grad_norm': 9.311407089233398, 'learning_rate': 0.0009795159547994828, 'epoch': 9.14}
{'loss': 2.6902, 'grad_norm': 14.866788864135742, 'learning_rate': 0.0009790899961932833, 'epoch': 9.24}
{'loss': 2.7537, 'grad_norm': 9.195719718933105, 'learning_rate': 0.0009786597487660335, 'epoch': 9.33}
{'loss': 3.0141, 'grad_norm': 13.505168914794922, 'learning_rate': 0.0009782252163693158, 'epoch': 9.43}
{'loss': 2.8032, 'grad_norm': 10.343513488769531, 'learning_rate': 0.0009777864028930705, 'epoch': 9.52}
{'loss': 3.1141, 'grad_norm': 11.345078468322754, 'learning_rate': 0.0009773433122655625, 'epoch': 9.62}
{'loss': 3.4811, 'grad_norm': 8.331470489501953, 'learning_rate': 0.000976895948453346, 'epoch': 9.71}
{'loss': 3.1455, 'grad_norm': 16.024866104125977, 'learning_rate': 0.000976444315461229, 'epoch': 9.81}
{'loss': 2.8741, 'grad_norm': 25.320932388305664, 'learning_rate': 0.0009759884173322369, 'epoch': 9.9}
{'loss': 3.5774, 'grad_norm': 27.888568878173828, 'learning_rate': 0.0009755282581475768, 'epoch': 10.0}
